Personality,Info,,,,,

FileSize,22,,,,,

Verbose Mode ?,0,,,,,


!FIXED,,,,,,
,1,,player 600m +,,,
,1,,player 540m,,,
,1,,player 480m ,,,Player cop is ahead
,1,,player 420m ,,,
,1,,player 360m,,,
,1,,player 300m ,,,
,1,,player 240m,,,
,1,,player 180m,,,
,1,,player 120m ,,,
,1,,player 60 m,,,
,1,,beside,,,Opponent (perp) is here
,0.9,,player 60 m,,,
,0.75,,player 120m ,,,
,0.6,,player 180m,,,
,0.5,,player 240m,,,
,0.5,,player 300m ,,,
,0.5,,player 360m,,,Player Cop is behind
,0.4,,player 420m ,,,
,0.4,,player 480m ,,,
,0.4,,player 540m,,,
,0.4,,player 600m -,,,
